date,station,lat,lon,temp_C,precip_mm
20100629,沈阳,41.8,123.43,23.97,2.17
20100630,沈阳,41.8,123.43,25.19,0.0
20100701,沈阳,41.8,123.43,24.27,14.44
20100702,沈阳,41.8,123.43,26.25,5.09
20100703,沈阳,41.8,123.43,27.96,0.0
20100704,沈阳,41.8,123.43,28.11,1.6
20100705,沈阳,41.8,123.43,25.4,0.79
20100706,沈阳,41.8,123.43,22.23,3.39
20100707,沈阳,41.8,123.43,23.49,1.69
20100708,沈阳,41.8,123.43,22.6,22.71
20100709,沈阳,41.8,123.43,22.99,0.2
20100710,沈阳,41.8,123.43,23.02,1.13
20100711,沈阳,41.8,123.43,23.32,1.7
20100712,沈阳,41.8,123.43,23.15,13.05
20100713,沈阳,41.8,123.43,22.34,5.8
20100714,沈阳,41.8,123.43,24.94,0.07
20100715,沈阳,41.8,123.43,24.7,5.64
20100716,沈阳,41.8,123.43,24.83,1.97
20100717,沈阳,41.8,123.43,25.75,0.34
20100718,沈阳,41.8,123.43,25.91,0.41
20100719,沈阳,41.8,123.43,24.71,11.3
20100720,沈阳,41.8,123.43,24.5,45.28
20100721,沈阳,41.8,123.43,25.04,18.72
20100722,沈阳,41.8,123.43,25.78,3.58
20100723,沈阳,41.8,123.43,26.26,0.42
20100724,沈阳,41.8,123.43,26.27,2.11
20100725,沈阳,41.8,123.43,26.26,0.99
20100726,沈阳,41.8,123.43,25.77,4.73
20100727,沈阳,41.8,123.43,26.05,3.8
20100728,沈阳,41.8,123.43,25.49,10.64
20100729,沈阳,41.8,123.43,24.89,8.34
20100730,沈阳,41.8,123.43,25.21,3.93
20100731,沈阳,41.8,123.43,22.75,7.68
20100801,沈阳,41.8,123.43,21.77,0.0
20100802,沈阳,41.8,123.43,22.97,0.0
20100803,沈阳,41.8,123.43,22.89,0.12
